name;ts1;ts2;GT;LogSize;Rank GT+2x5s;Rank;VideoRank;time;ts;category;type;query;filter
vbs22-kis-t02;1654506752;1654507177;5863: 2650-2950 : 25;10000;508;2168;244;24;1654506776;TEXT;JointEmbedding;CLIP: wooden bridge seen from a creek;
vbs22-kis-t02;1654506752;1654507177;5863: 2650-2950 : 25;;;;;31;1654506783;BROWSING;VideoDetailOpen;1680:6200;
vbs22-kis-t02;1654506752;1654507177;5863: 2650-2950 : 25;;;;;33;1654506785;BROWSING;VideoDetailClose;1680:6200;1654506776
vbs22-kis-t02;1654506752;1654507177;5863: 2650-2950 : 25;;;;;39;1654506791;BROWSING;VideoDetailOpen;1680:6200;
vbs22-kis-t02;1654506752;1654507177;5863: 2650-2950 : 25;;;;;45;1654506797;BROWSING;VideoDetailClose;1680:6200;1654506776
vbs22-kis-t02;1654506752;1654507177;5863: 2650-2950 : 25;10000;143;255;80;96;1654506848;TEXT;JointEmbedding;Temporal CLIP: rocks on the right and gorge on the left >wooden bridge seen from a creek;
vbs22-kis-t03;1654507318;1654507743;12262: 128-375 : 25;10000;1;1;1;20;1654507338;TEXT;JointEmbedding;CLIP: caravan and a horse on a meadow;
vbs22-kis-t03;1654507318;1654507743;12262: 128-375 : 25;;;;;45;1654507363;BROWSING;VideoDetailOpen;16395:21012;
vbs22-kis-t03;1654507318;1654507743;12262: 128-375 : 25;;;;;48;1654507366;BROWSING;VideoDetailClose;16395:21012;1654507338
vbs22-kis-t03;1654507318;1654507743;12262: 128-375 : 25;;;;;181;1654507499;BROWSING;VideoDetailOpen;12262:344;
vbs22-kis-t03;1654507318;1654507743;12262: 128-375 : 25;;;;;189;1654507507;BROWSING;VideoDetailSortBySimilarity;12262:344;
vbs22-kis-t03;1654507318;1654507743;12262: 128-375 : 25;;;;;192;1654507510;BROWSING;VideoDetailClose;12262:344;1654507338
vbs22-kis-t03;1654507318;1654507743;12262: 128-375 : 25;;;;;385;1654507703;BROWSING;RESET;;
vbs22-kis-t06;1654510854;1654511279;4396: 192-360 : 24;10000;1018;1018;1018;41;1654510895;TEXT;JointEmbedding;CLIP: glass vase leather case and wooden frame slate;
vbs22-kis-t06;1654510854;1654511279;4396: 192-360 : 24;10000;1376;1376;1376;77;1654510931;TEXT;JointEmbedding;Temporal CLIP: glass vase leather case and wooden frame slate > timetable;
vbs22-kis-t06;1654510854;1654511279;4396: 192-360 : 24;10000;;;3889;96;1654510950;TEXT;JointEmbedding;CLIP: welcome to our story;
vbs22-kis-t06;1654510854;1654511279;4396: 192-360 : 24;10000;;;3684;124;1654510978;TEXT;JointEmbedding;CLIP: our story;
vbs22-kis-t06;1654510854;1654511279;4396: 192-360 : 24;10000;3396;3396;3396;146;1654511000;TEXT;JointEmbedding;Temporal CLIP: vase wooden fame slate > our story;
vbs22-kis-t06;1654510854;1654511279;4396: 192-360 : 24;10000;1159;1159;1159;169;1654511023;TEXT;JointEmbedding;Temporal CLIP: vase wooden fame slate > slate with text our story;
vbs22-kis-t06;1654510854;1654511279;4396: 192-360 : 24;10000;549;549;549;233;1654511087;TEXT;JointEmbedding;Temporal CLIP: vase wooden fame slate > our weeding;
vbs22-kis-t06;1654510854;1654511279;4396: 192-360 : 24;;;;;244;1654511098;BROWSING;DetailWindowOpen;4103:8886;
vbs22-kis-t06;1654510854;1654511279;4396: 192-360 : 24;;;;;253;1654511107;BROWSING;DetailWindowClose;4103:8886;
vbs22-kis-t06;1654510854;1654511279;4396: 192-360 : 24;;;;;254;1654511108;BROWSING;VideoDetailOpen;4103:8886;
vbs22-kis-t06;1654510854;1654511279;4396: 192-360 : 24;;;;;267;1654511121;BROWSING;VideoDetailClose;4103:8886;1654511087
vbs22-kis-t06;1654510854;1654511279;4396: 192-360 : 24;;;;;271;1654511125;BROWSING;DetailWindowOpen;4103:8886;
vbs22-kis-t06;1654510854;1654511279;4396: 192-360 : 24;;;;;281;1654511135;BROWSING;DetailWindowClose;4103:8886;
vbs22-kis-t06;1654510854;1654511279;4396: 192-360 : 24;10000;1261;1261;1261;319;1654511173;IMAGE;feedbackModel;Temporal Bayes CLIP 17126:4248_13575:5775_13583:962_15814:2525_17126:1581_4103:8804_2342:3102_11095:881_12379:9545_10002:3840_| group:1|4103:8886_;
vbs22-kis-t06;1654510854;1654511279;4396: 192-360 : 24;10000;4532;4532;3126;357;1654511211;IMAGE;feedbackModel;Temporal Bayes CLIP 4103:8804_17126:4248_8265:1935_678:156_2842:1506_9679:6031_7464:3117_17125:2272_13583:962_2342:2952_| group:2|2141:2945_;
vbs22-kis-t06;1654510854;1654511279;4396: 192-360 : 24;;;;;368;1654511222;BROWSING;DetailWindowOpen;4103:8984;
vbs22-kis-t06;1654510854;1654511279;4396: 192-360 : 24;;;;;372;1654511226;BROWSING;DetailWindowClose;4103:8984;
vbs22-kis-t06;1654510854;1654511279;4396: 192-360 : 24;10000;;;;407;1654511261;TEXT;JointEmbedding;CLIP: our weeding;
vbs22-kis-t07;1654511372;1654511797;3869: 3980-4124 : 23.976025;10000;1883;1883;1883;25;1654511397;TEXT;JointEmbedding;CLIP: termite trail on a tree  route;
